Name,CategoryName,Contact Number,City,Address,Website
Abdullah Hospital,Private hospital,+92 453 514730,Bhakkar,"Club Rd, Bhakkar, 30000, ",www.hospitalby.com/doctors-pakistan/bhakkar/
Al-Hadi Medical Complex Bhakkar,Hospital,N/A,Bhakkar,"J324+WFX, Karor - Bhakkar Rd, Bhakkar, 30000, ",N/A
Fatima Medical Center Bhakkar,Hospital,+92 453 515456,Bhakkar,"J35H+XGF, Munir Rd, near Fatima Medical Center, Bhakkar, ",N/A
MTI DHQ Teaching Hospital DIKhan,Hospital,+92 320 8852369,Dera Ismail Khan,"RWF5+9RX, South Circular Road, Dera Ismail Khan, 32200, ",N/A
General Hospital Layyah,General hospital,N/A,Layyah,"XXQ6+J6W, Layyah, ",N/A
THQ Hospital,Hospital,+92 453 410200,Mankera,"9CWX+7JJ, Hospital Rd, Al-Qaim Colony, Mankera, Punjab, Mankera, ",N/A
Garwan hospital,General hospital,+92 302 6793335,Layyah,"Layyah Bypass Rd, Layyah, ",N/A
Brigadier Shafiq Ahmad Khan Niazi Memorial Trust near tiba sadaat,Hospital,+92 334 7605563,Bhakkar,"Main Darya Khan Rd, opposite Aman Town, Bhakkar, 30000, ",N/A
District Headquarter Hospital,Hospital,N/A,Bhakkar,"opposite DHQ Hospital, Bhakkar, ",N/A
Global Hospital,Hospital,N/A,Bhakkar,"Khansar Road, Bhakkar, ",globalhealthcare4u.com/
"Rural Health Center, Behal, Bhakkar",Hospital,+92 453 432077,Behal,"C267+VG2, Layyah Rd, Behal, 30040, ",pshealthpunjab.gov.pk/Home/HFDetail/0380010010020130002
Government Hospital,Hospital,N/A,Behal,"C277+4JM, Behal, ",N/A
Rashid Hospital,Hospital,+92 345 7896656,Shahkot,"Punjab, Nankana Road, Wapda Colony Shahkot, ",N/A
Nasri Trust Javed Hospital,Hospital,N/A,Lahore,"F9F7+Q2F, Al-Noor Town Al Noor Town, Lahore, ",N/A
T.H.Q Hospital,Bus stop,N/A,Lahore,"Kahna Nau, Lahore, ",N/A
PK SURGIMED HOSPITAL,Hospital,N/A,Chiniot,"PX7Q+J7F, Jhumra Rd, Chiniot, ",N/A
Sajjad Memorial Hospital,Hospital,N/A,Lahore,"11 d2, Gulshan-e-Ravi, Lahore, ",N/A
Shalamar Hospital Laboratories,Medical laboratory,+92 333 0427582,Lahore,"H9GJ+583, Shalimar Hospital Ave, Shalimar Larechs Colony, Lahore, 54000, ",www.shalamarhospital.org.pk/index.php?page=40
Children General Hospital,Hospital,N/A,Sheikhupura,"RV5F+H3V, Nowshera Rd, Sheikhupura, 39350, ",N/A
Ayra trust hospital lahore,Hospital,+92 321 4951965,Lahore,"Unnamed Road, Wahga Town, Lahore, ",N/A
Government Civil Hospital Mattani,Hospital,N/A,Mattanī,"RH26+G37, Tuker Khel Bala, Mattanī, ",N/A
Zahra Hospital,Hospital,+92 300 5908595,Peshawar,"Lakar Mandi, Peshawar, ",N/A
Mandai Hospital,Hospital,N/A,Mandai,"RP2R+HJM, Mandai Rd, Mandai, ",N/A
Pirzada Hospital,Hospital,+92 937 871308,Mardan,"Shamsi Rd, opp. Jinnah Hospital, Guli Bagh Mardan, 23200, ",N/A
Psychiatry Hospital Peshawar,Government hospital,+92 314 9745047,Peshawar,"2H66+99 Central prison Colony, PTCL Colony, Peshawar, ",N/A
Ss Diabetes Hospital and medical care,Hospital,+92 336 9276523,Peshawar,"Ss Diabetes Hospital and medical care, Peshawar Ring Rd., opposite zaiqa/taraskoon hotel, achini chowk Noudeh Bala, Peshawar, 25000",N/A
Type D Hospital Katlang ,Hospital,N/A,Katlang,"83R8+H3X, Katlang, ",N/A
Dr.Essa Khan Continental General Hospital,Hospital,+92 314 5288000,Saidu Sharif,"Q964+CH5, Swat Saidu Sharif, ",N/A
"Dogra Hospital, Bara, Khyber",Hospital,N/A,Ilam Guder,"VCX9+PWV, Bara Road.Ilam Guder, ",N/A
Al Hadi International Hospital Swabi,Hospital,+92 310 9866662,Swabi,"4F48+R56, Swabi - Jahangira Rd، near marina shopping mall, Swabi, 23396, ",N/A
Mahaban Medical and Research Hospital,Hospital,+92 311 9570474,Topi,"3JF5+RFC, Gadoon, industrial road, near karkhano chowk, Distt Topi, 23460, ",mahabanhospital.com/
Sikandar Memorial Hospital Hazro,Hospital,+92 300 5677966,Hazro,"WF6M+CGR Sikandar Memorial Hospital, Tana Road, Hazro, ",sikandarmhospital.com/
Emergency- Khyber Teaching Hospital ( KTH) Peshawar,Hospital,N/A,Peshawar,"C59 University Rd, Rahat Abad, Peshawar, ",N/A
Al-Jannat Hospital,Hospital,+92 57 2613587,Attock,"Q9P5+FVR, Dr. Shagufta Street, Darul Islam Colony Attock, ",N/A
Yashfeen general Hospital,Hospital,+92 91 2570066,Peshawar,"Yashfeen General Hospital, Government commerce college street, GT Rd, behind Govt high school, Zaryab Colony, Peshawar, 25000, ",N/A
"MEDIKS INTERNATIONAL HOSPITAL ISLAMABAD, Nowshera Cantt.",Hospital,+92 300 1307999,Nowshera,"Shahrah-e-Quaid-e-Azam, opposite to Daewoo Terminal, Nowshera Cantonment Nowshera, 24100, ",N/A
Ilyas General Hospital & Research Center.,Hospital,+92 333 9839440,Peshawar,"31A, 3, near Passport Office, Phase 5 Hayatabad, Peshawar, 25100, ",N/A
Civil Hospital,Hospital,N/A,Shabqadar,"6G8X+4PR, Shabqadar, ",N/A
Deen Hospital,Hospital,+92 345 4319887,Sher Garh,"RPGP+C6J, Sher Garh, ",N/A
Civil Veterinary Hospital Kot Radha Kishen,Hospital,+92 334 7453003,Kot Radha Kishan,"5495+95C, Mohalla Kot Maniyaan, Kot Radha Kishan, ",N/A
Zaitoon Children and Surgical Hospital,Hospital,+92 300 8162095,Pattoki,"Multan Lahore Rd, Pattoki, ",N/A
AYOUB HOSPITAL,Hospital,+92 300 4388126,Pindi Bhattian,"W72G+342 AYOUB HOSPITAL Chowk, Sarajan St, Pindi Bhattian, ",N/A
govt hospital,Hospital,N/A,Gagga Sarai,"7X58+VWH, Gagga Sarai, ",N/A
Amanat Eye Hospital Peshawar,Hospital,+92 91 7247001,Peshawar,"Liberty Mall, University Rd, Tehkal, Peshawar, 25000, ",www.amanathospital.com/
Dr Sherin Medical Center,Hospital,+92 938 271022,Topi,"3JP9+J4V shakri lar, Topi, ",N/A
Govt. Naseer Ullah Baber Memorial Hospital Peshawar,Government hospital,N/A,Peshawar,"XHM6+GGJ, road, Amin Colony Akbar Colony, Peshawar, ",www.healthkp.gov.pk/
Staff Hospital,Hospital,N/A,Peshawar,"Canal Town Peshawar, ",N/A
"Mian Rashid Hussain Shaheed Memorial Hospital, Pabbi",Government hospital,N/A,Pabbi,"2Q5X+M74, GT Rd, Usman Abad Pabbi, ",N/A
Govt Services Hospital,Hospital,N/A,Peshawar,"Lala Rukh Colony, Peshawar, ",N/A
Rehmat Hospital,Hospital,+92 923 644411,Nowshera,"2X6G+3VG, Khyber Pakhtunkhwa, Noshera-Charsadda Rte, Mohalla Meetha Khel, Nowshera, ",N/A
Asif Hospital,Hospital,N/A,Wah,"QPMG+X28, Hashmi St, Wah, 47040, ",N/A
South City Dilaram khan Memorial Hospital,General hospital,+92 946 711151,N/A,"Swat Shagai Village, ",N/A
Category C Civil Hospital Topi,Government hospital,N/A,Topi,"3J9Q+H7F, Tarbela Rd, Topi, ",N/A
Hospital,Hospital,N/A,N/A,"48MH+8RH, Unnamed Road, ",N/A
Warehouse DHQ Hospital,Hospital,+92 944 881012,Dir Upper,"DHQ Hospital, Dir Upper, 18000, ",N/A
THQ HOSPITAL PARKING,Parking lot,N/A,Kabal,"R72M+43M, Swat Kabal, ",N/A
Syed Children Hospital,Children's hospital,+92 315 9416531,Mardan,"Health, Shamsi Rd, Mardan, 23200, ",N/A
Swat international hospital,Hospital,+92 946 728880,Mingora,"near old nadra office swat, Swat Mingora, ",N/A
THQ Hospital Shabqadar,Hospital,N/A,Shabqadar,"6G7X+XF9, Shabqadar, ",N/A
Vet hospital ,Hospital,+92 301 0019173,Sheikhupura,"PX39+84C, Sheikhupura, ",N/A
Tahir Hospital,Hospital,N/A,Satiana,"655C+FQR, Rd, Satiana, ",N/A
Kauser Majeed Hospital,Hospital,+92 300 2376052,Sahiwal,"M4M2+PC2, Sahiwal Rd, Sahiwal, ",N/A
hospital,Hospital,N/A,Karyal Chak 17 GB,"FFHP+XWX, Karyal Chak 17 GB, ",N/A
Punjab Hospital,Hospital,+92 309 0381212,Pākpattan,"Shahid Hospital, DHQ Hospital Rd, Mandi Mor Pākpattan, 57400, ",N/A
Qaisra Raoof Hospital HM,Hospital,N/A,Lahore,"Jarrar Garden Lahore, ",N/A
Tibi Hospital Al-Khair,Hospital,N/A,Faisalabad,"Ghulam Muhammad Abad, Faisalabad, ",N/A
Frontier Institute of Ophthalmology - FIO Hospital,Eye care center,+92 91 5812391,Peshawar,"XFV2+JGW Medical Complex (HMC, Hayatabad Medical Complex Rd, opposite Hayatabad, Phase-4 Phase 4 Hayatabad, Peshawar, 25000, ",www.fiohospital.com/
Modern rehab & psychiatric hospital peshawar,Rehabilitation center,+92 370 9696806,Peshawar,"1, Peshawar, 25000, ",modern-rehab-zxvn.vercel.app/
Emergency Satellite Hospital Nahaqi,Hospital,+92 91 2960142,Peshawar,"3JW9+699, Shakarpura, Peshawar, ",N/A
Civil Hospital Kotera,Hospital,N/A,Harīpur,"XM98+8FR, Harīpur, ",N/A
Edo Eye Hospital,Hospital,+92 51 4540151,Wah,"QPQG+736, Lala Rukh St, Wah, ",edowah.org/
KPK GENERAL HOSPITAL,Hospital,+92 335 7778894,Mardan,"Shamsi Rd, near Mardan Press Club, Mardan, 23200, ",N/A
SMI general hospital,Hospital,+92 319 9924141,Mardan,"sajid house, Baghdada Rd 6346+GX5 kapoor Khan, Par Hoti Rd, Mohalla Hoti, Mardan, 23200, ",N/A
Pati T.b Hospital,Hospital,N/A,Peshawar,"2H4M+W2M, Mohalla Hudda Peshawar, ",N/A
Government Hospital Ghundi,Hospital,N/A,N/A,"Warsak Dam Rd, ",N/A
Gul Habib Memorial Hospital,General hospital,+92 344 5500888,Dheri,"N-45 Alladhand, Dheri, ",N/A
LRBT Free Secondary Eye Hospital – Akora Khattak,Hospital,+92 923 630283,Akora Khattak,"2435+99V، GT Rd Siddiqabad, Nowshera, Akora Khattak, 24040, ",N/A
THQ Hospital Shamshi khan,Hospital,N/A,Talash,"PVR6+G7Q, Talash, ",N/A
Nayab Surgical Hospital,Medical clinic,+92 51 4511689,Wah,"A-39 Lala Rukh St, Lalarukh Colony, Wah, ",N/A
Irfan Hospital Peshawar Center,Hospital,+92 343 9081493,Peshawar,"Malik Saad Market, Sector D/5، Lalazar Ave, Phase 1 Hayatabad, Peshawar, ",N/A
Hospital,Hospital,N/A,Tangora,"GJRQ+6VR, Al madina medical & surgical center batara deewana Baba rd chagharzai buner khibar pukhton, Tangora, ",N/A
Hospital,Hospital,N/A,Shamshato,"VPJ4+FC2, Shamshato, ",N/A
ESSI Polyclinic Hospital,Hospital,+92 91 2325220,Peshawar,"XHM5+CPH, Small Industrial Estate, Peshawar, ",N/A
Muhammad’s Hospital,Hospital,N/A,Torwarsak,"G96G+M63, Torwarsak, ",N/A
Hospital market,General store,N/A,Kamra Kalan,"R9PV+WRC, F 6 Colony, Kamra Kalan, ",N/A
hospital,Hospital,N/A,Beka,"282V+PQ6, Road, Beka, ",N/A
Tofiq Hospital,Child health care center,+92 44 2635975,Renala Khurd,"Raay road G T. Road, Renala Khurd, ",N/A
Alkhidmat Sughran Nazir Hospital,Community health center,+92 316 7772909,Lahore,"Alkhidmat Street, Link Sher Shah Link Rd, off Raiwind Road, Bhobtian, Lahore, 05499, ",N/A
"Shalimar Hospital, Harapa City sahiwal",Hospital,N/A,Harappa,"JVHJ+F38, Harapa Rd, Harappa, ",N/A
"Government Village Hospital,Natha Singh Wala.",Hospital,N/A,Lahore,"FC4M+FMH, Natha Singh Wala, Lahore, ",N/A
Ghazi Hospital 56 JB,Hospital,+92 341 5512456,Chak 56 JB Khiala Khurd,"FWRP+FVM, Unnamed Road, Chak 56 JB Khiala Khurd, ",N/A
Nusrat Children and Medical Hospital (NCMH),Children's hospital,+92 312 7650483,Lahore,"Main Road, near Jaedoun Pull, Jia Bagga, Lahore, ",N/A
Anwar Jameel Hospital,Hospital,+92 321 7772604,Kala Shah Kaku,"Main Grand Trunk Rd, Hussain Town Ravi Rayon, Kala Shah Kaku, ",N/A
Javed Wazir Memorial Hospital,Hospital,+92 323 0071026,Faisalabad,"Salam Town Street Number 10 People Colony Number 2, Siddiqia Mill Colony, Faisalabad, 38090, ",www.facebook.com/Javed-Wazir-Memorial-Hospital-Faisalabad-109462225039900/
Govt. Hospital 448 GB,Hospital,N/A,Chak 448 GB Lisharan,"XXG8+MHX, Chak 448 GB Lisharan, ",N/A
Yaseen Hospital,Hospital,+92 301 5247484,Faisalabad,"Jaranwala Rd, Zubair Colony Dhudiwala Sharqi, Faisalabad, 38000, ",N/A
"Hafeez Specialist Hospital, Mian Channu",Hospital,+92 65 2660177,Mian Channu,"Street 1 Liaquat Road, Nawab Colony, Mian Channu, 58000, ",N/A
DHQ Hospital Jhang,Hospital,+92 312 6751600,Jhang,"787J+5XC, Gojra Rd, Rana Colony Jhang, ",dhqjhang.punjab.gov.pk/
Govt.Hospital Royal Orchard Multan,Hospital,+92 304 8208684,Multan,"F-Block, Royal Orchard Housing Society, 4 St 8, Royal Orchard Housing Society Musa Wala, Multan, 60000, ",N/A
Layyah City Hospital,Hospital,+92 335 6501212,Layyah,"Bypaas Road, near Faiz Chowk, Layyah, 31200, ",N/A
Ali Ahmad Khan Hospital,Hospital,+92 47 7631021,Jhang,"Jhang - Toba Tek Singh Road, Jhang, 35200, ",aliahmedkhanhospital.com/
ZAHEER HOSPITAL KAMALIA,Hospital,+92 46 3412626,Kamalia,"PJPR+VP7, Main Colony Rd, Zeeshan Colony, Kamalia, ",N/A
The Doctor's Hospital Gojra,Hospital,+92 46 3512821,Gojra,"Gojra, ",N/A
Civil hospital 4512 L,Government hospital,+92 324 6780514,Chak 45/12-L,"CMW7+853, Chak 45/12-L, ",N/A
Majeed Hospital,Hospital,+92 300 6890747,Khanewal,"7WXF+849, Khanewal, ",N/A
Haleema Surgical Hospital,Hospital,+92 47 5311752,Shorkot,"R3WP+G8W, Jhang Rd, Shorkot, ",N/A
Kamil Sarwar Hospital,Hospital,+92 300 0917121,Sillanwali,"RGGQ+JWF, Block 1 Sillanwali, ",N/A
Goverment Hospital,Government hospital,N/A,Chak 369 JB,"4P7H+7WP, Chak 369 JB, ",N/A
RCH Hospital,Medical Center,N/A,Chak 46,"VQJG+6Q4, Faisalabad Rd - NH 60 Link, Chak 46, ",N/A
govt hospital,Hospital,N/A,Chak 46,"VQJG+5MJ, Chak 46, ",N/A
Ahmad waheed Hospital,Hospital,+92 302 6710399,Sargodha,"Faisalabad Rd, Maryam Town, Sargodha, 40100, ",N/A
Minha General Hospital,Hospital,+92 317 0726464,diluwala,"Hospital, Ada pull diluwala link road, Ada pull, bhowana& chimrawali diluwala, ",N/A
Buner Children's Hospital SHNAI,Hospital,+92 313 9346255,N/A,"Sowari - Mingora Rd, 17290, ",N/A
Bahadar Care Hospital,Hospital,+92 313 5095578,Swabi,"Shewa Adda, Shewa Road, Asota Sharif, Razzar, Swabi, ",N/A
Shahid General Hospital,Hospital,+92 303 2129083,Khalozai,"Bajaur Agency Rd, Khalozai, ",N/A
Social Security Hospital,Hospital,+92 938 256454,Topi,"4JHM+Q8H, Topi, ",N/A
Hospital,Hospital,N/A,Nowshera,"25C9+958, Nowshera, ",N/A
Tayaba Mazhar Hospital,Maternity hospital,+92 312 9217274,Peshawar,"34 Abdara Rd, University Town, Peshawar, 25000, ",tmh.biz.pk/
Hospital (Cantonment Board) Risalpur,Hospital,N/A,Risalpur,"3244+J5X, Unnamed Road, Risalpur, ",N/A
Cardiac Family Fauji Foundation Hospital Peshawar,Hospital,+92 331 1110897,Peshawar,"1 Hussain Abbas Shaheed Rd, Peshawar Cantonment, Peshawar, 25000, ",www.facebook.com/cardiacfamily
Alsehat Hospital,Hospital,+92 342 9431477,Timergara,"Street 1, Timergara, 18900, ",N/A
Ganderi BHU Hospital,Hospital,N/A,Risalpur,"3X5G+858, Risalpur, ",N/A
Cival Hospital Manglor,Hospital,N/A,Manglor,"RC3G+88R, Swat Manglor, 19201, ",N/A
"Vascular Surgery Ward, Lady Reading Hospital Peshawar",Government hospital,N/A,Peshawar,"2H69+473, Pipal Mandi, Peshawar, ",N/A
New Afridi Surgical Hospital,Medical Center,+92 336 2256859,Peshawar,"2H46+MQV shuba chowk, jail bridge, near park inn hotel, Shuba Bazaar Shoba, Peshawar, ",N/A
Thq hospital puran,Hospital,N/A,Aloch,"PMQM+G6C, Aloch, ",N/A
Hayat-e-Nou Hospital all Drugs Addictions and Psychological Rehabilitation Centre Faisalabad,Addiction treatment center,+92 311 7210385,Faisalabad,"House No 63-F, Awais Qarni Road, F Block Millat Town, Faisalabad, 38070, ",https://ln.run/N22s9
Al Rafique Hospital,Hospital,N/A,Depalpur,"15, km pakpttan road, Depalpur, ",N/A
"Madina MD, hospital",Hospital,N/A,N/A,"Delhi - Multan Rd, ",N/A
Dr. Faheem Feroze Eye Hospital,Ophthalmology clinic,+92 44 2716600,Okara,"31 Street Number 2, Waris Colony Okara, ",N/A
"Asher Imran Hospital, Sahiwal",Hospital,N/A,Sahiwal,"M3PX+7CH, Main Shadman Town Road, Ravi Block Rd, 43/A Block Sahiwal, ",N/A
"Central ICU Mayo Hospital, Ghari Ward",Hospital department,N/A,Lahore,"43 Nisbat Rd, Anarkali Bazaar Lahore, 54000, ",N/A
"Faisalabad Cancer Center, Faisal Hospital",Cancer treatment center,+92 321 1791789,Faisalabad,"East, 7th Floor, Faisal Hospital 544, People’s Colony, Canal, Road, Faisalabad, 38000, ",faisalabadcancercenter.org/
"Division of Pediatric Nephrology, Paediatric Medicine Unit-2 Mayo Hospital Lahore",Hospital department,N/A,Lahore,"Childern Ward, Anarkali Bazaar Lahore, 54000, ",N/A
"Medical Superintendent Office Sahiwal Teaching Hospital, Sahiwal",Government office,+92 300 1170286,Sahiwal,"M4M3+F9P, Sahiwal, ",N/A
Boys Hostel SAHS ( School of Allied Health Sciences) DHQ Teaching Hospital Sahiwal,Hostel,N/A,Sahiwal,"M4M2+837, Sahiwal, ",N/A
THQ Hospital Ghazi,Hospital,N/A,Ghazi,"2MC6+M55, Ghazi, ",N/A
The Royal Hospital Swat & Dilshad college of nursing and allied health sciences,Hospital,+92 317 6216969,Manglor,"opposite miangul abdul haq kidney hospital, Swat Manglor, 19130, ",N/A
Family care hospital,Medical Center,+92 938 222268,Swabi,"4F48+M33, Swabi, ",N/A
Royal Care Clinic/Hospital,Hospital,+92 330 2021922,Peshawar,"2FFP+44P, Behind Bin Rafi Pharmacy, Forest Bazar, near agriculture University, Rahat Abad, Peshawar, 25000, ",N/A
"BHU Chamkani, Category-D Hospital Chamkani",Government hospital,+92 313 9218514,Peshawar,"Abdul khel, Peshawar, 24350, ",N/A
Qadir General Hospital,Hospital,+92 91 6551001,Dhakki,"8Q2G+J7G, Dhakki, ",N/A
"Mother and Child MCH (Zanana) Hospital, Parachinar",Hospital,N/A,Parachinar,"V4W2+QR8, Parachinar, ",N/A
Da Haq Awaz Anti-Drug Hospital Peshawar,Hospital,+92 91 5711114,Peshawar,"XFQR+9R7, Canal Rd, University Town, Peshawar, ",N/A
Alkhidmat Farzana Shah Nawaz Hospital,Hospital,+92 323 0077888,Nabi,"X9Q6+9C, Nabi, ",akfsnh.com/
international hospital,Hospital,N/A,Mingora,"Q97G+XCP, bypass, خواجہ آباد Mingora, ",N/A
RHC Hospital Gumbat,Government hospital,N/A,Mardan,"45MM+57R, Mardan, 23200, ",N/A
AL Noor Hospital Barawal,Hospital,+92 342 3893409,Barawal Bandi,"Barawal Bandi, ",N/A
KHAIR UN NAS HOSPITAL,Hospital,+92 945 835827,Mayar Jandool,"VMQ8+7Q9, Mayar Jandool, ",N/A
Al-shafa hospital,Hospital,N/A,Peshawar,"2H36+9HF, Lakar Mandi Peshawar, ",N/A
NASEER HOSPITAL,Hospital,+92 313 5387633,Hassan Abdal,"RMFP+VRH, Mohalla Milad Nagar, Hassan Abdal, ",N/A
Mughal Pharmacy and Mughal Eye Hospital walk-in Clinic and Lab,,+92 42 36292407,Lahore,"25 Empress Rd, Muhammad Nagar Garhi Shahu, Lahore, ",N/A
Zeenat laboratory Online facility (mian meer hospital),Medical laboratory,+92 303 4361767,Lahore,"Mian Mir Hospital, Umar Colony, Lahore, ",www.zeenatlab.com/
Ali Surgical and Children Hospital Burewala Road Arifwala,Hospital,+92 301 3358724,Ārifwāla,"73Q9+6WQ, Burewala Rd, Ārifwāla, ",N/A
Dr. Uswa Shahbaz ( Clinical psychologist),Psychologist,+92 336 6948898,Lahore,"near Sadar, Naseer Hospital zarar shaheed road, Saddar Gol Chakar, Old Officers Colony, Lahore, 54000, ",N/A
Sheikh zyade hospital,Fast food restaurant,N/A,Lahore,"G74H+GGP, Karim Block Allama Iqbal Town, Lahore, ",N/A
OPD Children Hospital Faisalabad,Hospital department,+92 41 9203065,Faisalabad,"92VF+4HV, Jhang Rd, Faisalabad, ",N/A
Nigar street Hospital road Near Dr Ghulam Rasool Dental surgon,Housing complex,N/A,Sheikhupura,"Nigar street city, 176, Jinnah Park, Sheikhupura, ",N/A
Hameed Latif Hospital Laboratories.,Laboratory,+92 303 7775151,Faisalabad,"79- B Aqsa town, Kasur Road, Noorpur, Faisalabad, ",N/A
Hospital wali ground,Playground,N/A,Chak 258 RB Laman Pind,"62MC+J9, Chak 258 RB Laman Pind, ",N/A
The Vets Corner Animal Hospital Lahore (جانوروں کا ہسپتال),Animal hospital,+92 304 4477277,Lahore,"orchard, Bahria Orchard Eastern District Bahria, Lahore, ",thevetscorner.com/
CVH Gogera / Civil Veterinary Hospital Sadar Bangla Gogera,Animal hospital,+92 337 9683274,Bangla Gogera,"X84G+5M4, Bangla Gogera, ",N/A
Pak Pets Hospital,Animal hospital,+92 304 3515333,Lahore,"E-1 block, Roundabout, near Jut chowk, near ALLAH-HO, Johar Town, Lahore, ",N/A
MMHC and eye care hospital,Ophthalmologist,N/A,peeran,"CP2J+V8C, Mochiwala, bangla road, nabipur, peeran, ",N/A
SLF Welfare Hospital,Hospital,+92 310 1889188,Jehangīra,"Usman Abad Dhari Khattak, Dubandi Bazar Jehangīra, 24100, ",N/A
Govt Hospital,Hospital,N/A,Azakhel Payan,"XVPJ+RXH, Azakhel Payan, ",N/A
Fatima Hospital,Hospital,+92 336 5472995,Hazro,"WF4R+WXP, Circular Rd, Mohalla Azeem Khan, Hazro, ",N/A
ALI HOSPITAL,Hospital,+92 349 9351558,Charbagh,"RCRV+6H3, Swat Charbagh, ",N/A
"DOCTORS HOSTEL,DHQ HOSPITAL SHANGLA Alpuri",Government hospital,N/A,Alpuri,"DHQ HOSPITAL, Bazaar Alpuri, ",N/A
Wadan homeopathic General Hospital ,Hospital,+92 311 9522211,Peshawar,"Saif plaza Din bahar pul stop, main Charsadda Rd, Zaheer Abad Shahi Bagh, Peshawar, ",www.youtube.com/@Health139
THQ Hospital Kabal Swat,Hospital,+92 946 755306,Kabal,"R72M+58G, Swat Kabal, ",N/A
Dr Pir Gul Memorial Hospital,Hospital,+92 348 8450723,Batkhela,"JX9H+QMQ, Dir - Malakand Rd, Batkhela, ",N/A
Zyarat Hospital,Hospital,N/A,Talash,"PVQM+753, Talash, ",N/A
Syed Hospital,Hospital,+92 937 553077,Takht Bhai,"7WFP+X2V, Takht Bhai, ",N/A
Khyber Medical Centre & Maternity Home,Hospital,N/A,N/A,"99G3+HHJ, Road, ",N/A
Taj Welfare Organization Hospital,Hospital,N/A,Peshawar,"WHV4+98Q kagawala, Kohat Rd, Ahmed Khel, Peshawar, ",N/A
Jan Cerjigal Hospital,Hospital,N/A,Chārsadda,"5Q25+XQV, Unnamed Road, Chārsadda, ",N/A
Sina Medical & Children Hospital,Hospital,+92 937 551092,Takht Bhai,"7WJH+J7J, Mardan-Malakand Rd, Takht Bhai, 23100, ",N/A
Hamid banoori hospital services,Hospital,N/A,Peshawar,"XHQ7+W7G, Banoori Rd, Khushal Town, Peshawar, ",N/A
"Fountain House, Mental Hospital Hayatabad",Hospital,+92 91 9210460,Peshawar,"XCVR+Q3X, Passport Office Rd, Phase 5 Hayatabad, Peshawar, ",N/A
Happy Pets Hospital & Mart,Animal hospital,+92 335 5555555,Lahore,"Link Ferozepur Rd، inside Madina Medicose, New Islamia Park Islamia Park, Lahore, 54000, ",N/A
Apple pharmacy jinnah hospital lahore,Pharmacy,+92 320 1837282,Lahore,"Apple pharmacy, jinnah hospital, Block A Faisal Town, Lahore, ",27.20.162.150/
AL SHIFA SURGICAL HOSPITAL,Hospital department,+92 300 0969215,Sahiwal,"Main GT Road, near Grid Stop, Sahiwal, ",N/A
Saeed Dental Hospital,Dental clinic,+92 334 7453153,Pākpattan,"89PR+H68, Thana Rd, Pākpattan, 57400, ",N/A
Pets Hospital,Animal hospital,+92 336 3515300,Lahore,"Wapda Town round, PIA Main Boulevard، near My Burger, Lahore, 52132, ",N/A
Manzar Hospital,Private hospital,+92 313 7614270,Jhang,"883H+V72، Jhang Bazar Jhang, ",N/A
Surrya Hospital,Hospital,N/A,Gojra,"Gojra, ",N/A
Family Hospital,Hospital,+92 46 3517643,Gojra,"5M4H+JVX, Baseline Road, Gojra, ",N/A
Alnoor hospital gojra,Hospital,+92 46 3510212,Gojra,"5M2H+27V, Gojra, ",N/A
Robina Memorial Hospital,Hospital,+92 302 9646257,Fatehpur,"55JV+J3G, Fatehpur, ",N/A
Govt Hospital,Hospital,N/A,Mankera,"GF8R+5MJ, Mankera, ",N/A
THQ HOSPITAL 18 HAZARI,Hospital,N/A,Jhang,"53MC+JPG, WASOO, Bhakar Rd, Jhang, ",N/A
National Hospital Kotsultan,Hospital,+92 300 6764235,Kot Sultan,"QW6J+VG4, Kot Addu-Layyah Road, Kot Sultan, ",N/A
MNHC HOSPITAL 128,Hospital,N/A,Chak 128 E.B,"7M62+7HF, Chak 128 E.B, ",N/A
Mian Hospital & Medical Complex,Hospital,+92 302 1391358,Chowk Azam,"Layyah - Chowk Azam Rd, Chowk Azam, 31450, ",N/A
Masjid THQ Hospital Taunsa Shareef,Hospital department,N/A,Taunsa,"PM62+GR9 Chowk Hashim, DG Khan-DI Khan Rd, Taunsa, ",N/A
District Head Quarter Hospital Sherani ,Hospital,N/A,Mughal Kot,"RPJ4+8QM, Mughal Kot, ",N/A
Al Hafeez Hospital,General hospital,+92 345 7865035,Chand Bharwana,"C7C8+G96, Sargodha Rd, Chand Bharwana, ",N/A
THQ Hospital Barthi,Hospital,N/A,N/A,"H95G+J33, ",N/A
Al Raheem Children & General Hospital,Hospital,+92 345 3036093,Athara Hazari,"53CW+GRC, Jhang - Bhakkar Rd, Athara Hazari, ",N/A
Malik General Hospital Kotsultan,Hospital,+92 304 3902412,Kot Sultan,"QWHJ+FHF, Kot Sultan, ",N/A
Amin Hospital,Hospital,+92 65 2552824,Khanewal,"7WW9+W5J, Khanewal, ",N/A
Dubai Hospital,Hospital,+971 55 416 1090,Multan,"6FW8+7P3 Fair E Aam Chowk, Multan Bypass, Multan, ",N/A
Family Hospital,Hospital,+92 334 4442350,Kot Addu,"Qureshi, Main street, Town, Kot Addu, ",N/A
"Veterinary Teaching Hospital, The University of Agriculture Peshawar",Hospital,+92 333 9481070,Peshawar,"Nasir Bagh Rd, opposite police colony, Shah Faisal Town, Peshawar, ",N/A
Gov Hospital Darmai,Hospital,N/A,Darmai,"3FJ2+J45, Darmai, ",N/A
